Date,Day,Event,Location,Address,County,City,Region,LAT,LON
9/19/2023,Tuesday,Anti-Semitism Policy Announcement,Center for Jewish History,"15 West 16th Street, New York, NY",New York,New York,New York City,40.8369584,-73.4132925
9/19/2023,Tuesday,White House United Nations Gala,MET Museum,"1000 5th Avenue, New York, NY",New York,New York,New York City,40.7794396,-73.9633825
9/20/2023,Wednesday,Voting Rights Bill Signing,New York Law School,"185 West Broadway, New York, NY",New York,New York,New York City,40.71789375,-74.00681054
9/20/2023,Wednesday,COVID Vaccine Appointment,CVS Pharmacy,"38 Warren Street, New York, NY",New York,New York,New York City,40.6216707,-74.0825799
9/21/2023,Thursday,U. S. Climate Alliance Building Decarbonization Event,AIA New York Center for Architecture,"536 LaGuardia Place, New York, NY",New York,New York,New York City,40.7285992,-73.998642
9/21/2023,Thursday,Bus Crash Public Safety Briefing,State Trooper Headquarters,"55 Crystal Run Road, Middletown, NY",Orange,Middletown,Mid-Hudson,41.4473663,-74.3634351
9/22/2023,Friday,The Business Council 2023 Annual Meeting ,The Sagamore Resort on Lake George,"110 Sagamore Road, Bolton Landing, NY",Warren,Bolton Landing,Capital Region,43.558657,-73.6446385
9/25/2023,Monday,Greet the National Guard,369th Regiment Armory,"2366 5th Avenue, New York, NY",New York,New York,New York City,40.8176995,-73.9344205
9/25/2023,Monday,Migrant Crisis Announcement,369th Regiment Armory,"2366 5th Avenue, New York, NY",New York,New York,New York City,40.8176995,-73.9344205
9/26/2023,Tuesday,Press Conference,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
9/27/2023,Wednesday,The St. Clair Groundbreaking Ceremony,St. Clair Residences,"34 Main Street, Yonkers, NY",Westchester,Yonkers,Mid-Hudson,40.9343602,-73.9000259
9/27/2023,Wednesday,Human Trafficking Bill Signing ,Glow Cultural Center,"133-29 41st, Avenue  Flushing, NY",Queens,Queens,New York City,40.7577127,-73.8308769
9/28/2023,Thursday,50th Anniversary of Hip Hop Reception,Apollo Theater,"253 West 125th Street, New York, NY",New York,New York,New York City,40.8100895,-73.9499948
9/29/2023,Friday,Visit Capital Milestones Childcare,Capital Milestones Childcare,"3 Harriman Campus Drive, Albany, NY",Albany,Albany,Capital Region,42.704227,-73.806433
9/30/2023,Saturday,Storm Briefing,MTA Rail Control Center,"354 West 54th Street, New York, NY",New York,New York,New York City,40.7652196,-73.9855426
9/30/2023,Saturday,Visit MTA Bus Depot,,"525 West 11th Street, New York, NY",New York,New York,New York City,40.73543727,-74.00996894
10/1/2023,Sunday,Press Conference, Moreau Lake State Park,"605 Old Saratoga Road, Gansevoort, NY 12831",Saratoga,Gansevoort,Capital Region,43.2262505,-73.707913
10/2/2023,Monday,Partnership for New York City Panel Discussion,The Rainbow Room,"36 Rockefeller Plaza, New York, NY",New York,New York,New York City,40.7589454,-73.9786619
10/2/2023,Monday,Press Conference,Hot Bread Kitchen at Chelsea Market,"75 9th Avenue, New York, NY",New York,New York,New York City,40.7420513,-74.0048973
10/2/2023,Monday,Gansevoort Peninsula Hudson River Park Ribbon Cutting,Gansevoort Peninsula,"427-429 Gansevoort Street, New York, NY",New York,New York,New York City,42.6378843,-73.7579008
10/2/2023,Monday,American Beverage Association Board of Directors Dinner,St. Regis Hotel,"2 East 55th Street, New York, NY",New York,New York,New York City,40.7612458,-73.9743323
10/3/2023,Tuesday,Panel Discussion with Andrea Mitchell and former Governor Larry Hogan,Columbia School of International & Public Affairs,"420 West 118th Street, New York, NY",New York,New York,New York City,40.807509,-73.9595246
10/4/2023,Wednesday,Visit UAW Picket Line,Chrysler Parts Depot,"500 NY-303, Tappan, NY",Rockland,Tappan,Mid-Hudson,41.0512457,-73.9464302
10/4/2023,Wednesday,Premiere of HBO Documentary “No Accident”,,"30 Hudson Yards, New York, NY",New York,New York,New York City,40.7539277,-74.0005544
10/5/2023,Thursday,Tech:NYC Board Meeting,Accenture – One Manhattan West,"395 9th Avenue, New York, NY",New York,New York,New York City,40.8781502,-73.3304389
10/7/2023,Saturday,Synagogue Services,Temple Israel,"600 New Scotland Avenue, Albany, NY",Albany,Albany,Capital Region,42.6557447,-73.8017214
10/8/2023,Sunday,Watch the Buffalo Bills Game,McGeary's,"4 Clinton Square, Albany, NY",Albany,Albany,Capital Region,42.6540231,-73.7504479
10/9/2023,Monday,Columbus Day Parade,,"46th Street and 5th Avenue, New York, NY",New York,New York,New York City,40.762966,-73.973968
10/9/2023,Monday,“We Stand with Israel” Community Rally ,Temple Beth Emeth,"100 Academy Road, Albany, NY",Albany,Albany,Capital Region,42.6469131,-73.7838997
10/10/2023,Tuesday,New York State Intelligence Center Briefing,New York State Intelligence Center,"31 Tech Valley Drive, East Greenbush, NY",Rensselaer,East Greenbush,Capital Region,42.6283692,-73.6952683
10/10/2023,Tuesday,26th Annual New York State Fallen Firefighters Memorial Ceremony,Empire State Plaza ,"100 S Mall Arterial, Albany, NY 12242",Albany,Albany,Capital Region,42.6517957,-73.7619817
10/10/2023,Tuesday,New York Stands with Israel Vigil & Rally,Dag- Hammarkskjold Plaza,"47th Street and 2nd Avenue, New York, NY",New York,New York,New York City,40.73855,-73.980418
10/11/2023,Wednesday,Triangle Shirtwaist Fire Memorial Unveiling and Dedication Ceremony,NYU’s Brown Building,"25 Washington Place, New York, NY",New York,New York,New York City,40.8992648,-73.3462723
10/11/2023,Wednesday,Press Conference on Social Media Legislation,UFT Headquarters,"50 Broadway, New York, NY",New York,New York,New York City,40.70651987,-74.01256462
10/11/2023,Wednesday,Westchester Business Council Dinner,VIP Country Club,"600 Davenport Avenue, New Rochelle, NY",Westchester,New Rochelle,Mid-Hudson,40.8928131,-73.7768831
10/11/2023,Wednesday,UJA Reception,UJA HQ,"130 East 59th Street, New York, NY",New York,New York,New York City,40.7622906,-73.9685702
10/12/2023,Thursday,Greet Homeless Services Groups,,"89 E 42nd St, New York, NY 10017",New York,New York,New York City,40.7526943,-73.977253
10/12/2023,Thursday,Mental Health Inpatient Beds Event,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
10/12/2023,Thursday,"Lieutenant Detective Joseph Petrosino Association in America, Inc. Annual Awards Dinner",Russo’s On the Bay,"162-45 Crossbay Boulevard, Howard Beach, NY",Queens,Queens,New York City,40.6631688,-73.8407477
10/15/2023,Sunday,Wynn Hospital Ribbon Cutting Ceremony,Wynn Hospital,"111 Hospital Drive, Utica, NY",Oneida,Utica,Mohawk Valley,43.1032263,-75.2353872
10/15/2023,Sunday,Western New York Jewish Leaders Roundtable Discussion,Larkin Exchange,"726 Exchange Street, Buffalo, NY",Erie,Buffalo,Western New York,42.8747406,-78.849655
10/15/2023,Sunday,Western New York Muslim Leaders Roundtable Discussion,Jacqueline Vito LoRusso Alumni & Visitor Center at Buffalo State,"667 Grand Street, Buffalo, NY",Erie,Buffalo,Western New York,42.931988,-78.888844
10/15/2023,Sunday,Buffalo Bills Game,Highmark Stadium,"1 Bills Dr, Orchard Park, NY 14127",Erie,Orchard Park,Western New York,42.7737131,-78.7869032
10/16/2023,Monday,New York State Innovation Summit,Saratoga City Center,"522 Broadway, Saratoga Springs, NY",Saratoga,Saratoga Springs,Capital Region,43.0848621,-73.7833456
10/16/2023,Monday,Inaugural SUNY Albany AI Symposium, UAlbany ETEC Building,"1220 Washington Avenue, Albany, NY",Albany,Albany,Capital Region,42.6834005,-73.8105252
10/16/2023,Monday,Hispanic Heritage Month Reception,Executive Mansion,"138 Eagle Street, Albany, NY",Albany,Albany,Capital Region,42.6467004,-73.7608686
10/23/2023,Monday,Commendation Event for Orange County First Responders,New York State Museum,"222 Madison Avenue, Albany, NY",Albany,Albany,Capital Region,42.648625,-73.7619066
10/23/2023,Monday,Domestic Violence Awareness Month Roundtable,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
10/24/2023,Tuesday,Offshore Wind Announcement,Electrical Industry Training Center,"48-40 34th Street, Long Island City, NY",Queens,Queens,New York City,40.7396018,-73.9319427
10/24/2023,Tuesday,Deliver Remarks at the UJA Federation of New York Meeting,UJA Federation,"130 East 59th Street, New York, NY",New York,New York,New York City,40.7622906,-73.9685702
10/25/2023,Wednesday,Groundbreaking  for The People’s Theater Project,,"407 West 206th Street, New York, NY",New York,New York,New York City,40.8631912,-73.9177424
10/30/2023,Monday,Roundtable Discussion with Cornell Students ,Cornell University,"616 Thurston Avenue, Ithaca, NY 14853",Tompkins,Ithaca,Southern Tier,42.4521255,-76.4803157
10/30/2023,Monday,Press Conference,,"104 West Avenue, Ithaca, NY",Tompkins,Ithaca,Southern Tier,42.4442918,-76.4881196
10/30/2023,Monday,Opioid Settlement Fund Announcement,"Argus Community, Inc.","760 East 160th Street, Bronx, NY",Bronx,Bronx,New York City,40.8203429,-73.9048778
10/31/2023,Tuesday,Deliver Remarks on Hate Crimes & Hate Speech,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
11/1/2023,Wednesday,Project Exile Community Report Breakfast,Double Tree,"1111 Jefferson Road, Rochester, NY",Monroe,Rochester,Finger Lakes,43.086358,-77.607534
11/1/2023,Wednesday,New York State Affordable Housing Association Award Dinner,Yale Club,"50 Vanderbilt Ave, New York, NY",New York,New York,New York City,40.75402,-73.9775214
11/2/2023,Thursday,Deliver Remarks to the Commission on the Future of Healthcare,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
11/3/2023,Friday,Gateway Tunnel Event,Gateway Hudson Yards Construction Site,"675 West 30th Street, New York, NY",New York,New York,New York City,40.7543364,-74.0058661
11/3/2023,Friday,Tour Second Avenue Subway Tunnel,Second Avenue Subway Phase 2 Construction Site,"102 East 125th Street, New York, NY",New York,New York,New York City,40.804914,-73.9389199
11/3/2023,Friday,Deliver Remarks at B’Nai Jeshurun Synagogue,B’Nai Jeshurun Synagogue,"257 West 88th Street, New York, NY",New York,New York,New York City,40.7900875,-73.9761751
11/4/2023,Saturday,Second Avenue Subway Event ,Second Avenue Subway Phase 2 Construction Site,"102 East 125th Street, New York, NY",New York,New York,New York City,40.804914,-73.9389199
11/4/2023,Saturday,Deliver Remarks at Kehilath Jeshurun Synagogue,Congregation Kehilath Jeshurun,"125 East 85th Street, New York, NY",New York,New York,New York City,40.7791708,-73.956706
11/6/2023,Monday,Bill Signing Event for Doula Legislation,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
11/6/2023,Monday,New York Public Library Lions Gala,,"11 West 40th Street, New York, NY",New York,New York,New York City,40.752773,-73.9825674
11/9/2023,Thursday,NYSACOP Leadership Conference Breakfast,Hilton Albany,"40 Lodge Street, Albany, NY",Albany,Albany,Capital Region,42.6507442,-73.7531445
11/12/2023,Sunday,American Jewish Committee Board of Governors Meeting,Central Synagogue,"652 Lexington Avenue, New York, NY",New York,New York,New York City,40.6657532,-73.5651032
11/13/2023,Monday, Hate Crimes & Public Safety Roundtable,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
11/13/2023,Monday,Hate Crimes & Public Safety Press Conference,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
11/13/2023,Monday,Veteran’s Reception,Executive Mansion,"138 Eagle Street, Albany, NY",Albany,Albany,Capital Region,42.6467004,-73.7608686
11/13/2023,Monday,Wreath Laying Ceremony,New York State Women Veterans Memorial,"Madison Avenue, Albany, NY",Albany,Albany,Capital Region,42.6512411,-73.7655479
11/13/2023,Monday,New York State MWBE Forum,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
11/14/2023,Tuesday,Deed Theft Bill Signing,Brooklyn Law School,"205 State Street, New York, NY",New York,New York,New York City,42.656076,-73.7642413
11/14/2023,Tuesday,Police Athletic League Business Luncheon,NY Athletic Club,"180 Central Park South, New York, NY",New York,New York,New York City,40.7663613,-73.9790106
11/14/2023,Tuesday,Diwali Bill Signing and Reception,The Hindu Temple Society of North America Community Center,"143-09 Holly Avenue, Flushing, NY",Queens,Queens,New York City,40.7531735,-73.8151969
11/15/2023,Wednesday,Westbury DRI Announcement,M Phipps Sports Center,"346 Post Avenue, Westbury, NY",Nassau,Westbury,Long Island,40.7611826,-73.5871533
11/16/2023,Thursday,Clean Slate Bill Signing,Brooklyn Museum,"200 Eastern Parkway, Brooklyn, NY",Kings,Brooklyn,New York City,40.6709108,-73.9633172
11/17/2023,Friday,SUNY Poly Capital Announcement,SUNY Polytechnic Institute,"100 Seymour Road, Utica, NY",Oneida,Utica,Mohawk Valley,43.138002,-75.2294359
11/18/2023,Saturday,54th Annual Schenectady County Holiday Parade,,"432 State Street     Schenectady, NY",Schenectady,Schenectady,Capital Region,42.8118324,-73.9420813
11/20/2023,Monday,JP Morgan Chase “Topping Off” Ceremony,,"270 Park Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
11/20/2023,Monday,NYCHA ERAP Funding Announcement,Henry Street Settlement Boys and Girls Republic,"888 East 6th Street, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
11/21/2023,Tuesday,Anti-Hate Speech Press Conference,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
11/22/2023,Wednesday,Visit Site of Rainbow Bridge Incident,Visit Site of Rainbow Bridge Incident,"302 Rainbow Blvd, Niagara Falls, NY 14303",Niagara,Niagara Falls,Western New York,43.0870676,-79.062399
11/22/2023,Wednesday,Press Conference,DeVeaux Woods State Park,"3160 DeVeaux Woods Drive, Niagara Falls, NY",Niagara,Niagara Falls,Western New York,43.119631,-79.050392
11/23/2023,Thursday,Visit City Mission of Schenectady Thanksgiving Lunch,City Mission of Schenectady,"302 Lafayette Street, Schenectady, NY",Schenectady,Schenectady,Capital Region,42.810296,-73.9419082
11/27/2023,Monday,Winter Weather Season Preparedness Briefing,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
11/28/2023,Tuesday,Faith Based Leaders Announcement,Empire State Plaza ,"100 S Mall Arterial, Albany, NY 12242",Albany,Albany,Capital Region,42.6517957,-73.7619817
11/28/2023,Tuesday,Moonlight Gala,Casa Cipriani,"10 South Street, New York, NY",New York,New York,New York City,40.70124071,-74.01185734
11/30/2023,Thursday,Youth Mental Health Announcement,Leadership & Public Service High School,"90 Trinity Place, New York, NY",New York,New York,New York City,40.7089638,-74.0124816
11/30/2023,Thursday,New York University 56th Annual Conference on Capital Markets in Real Estate,NY Hilton Midtown,"1335 Sixth Avenue, New York, NY",New York,New York,New York City,42.7969212,-73.9509886
12/1/2023,Friday,Federal Law Enforcement Foundation’s 32nd Annual Luncheon,NY Hilton Midtown,"1335 Sixth Avenue, New York, NY",New York,New York,New York City,42.7969212,-73.9509886
12/4/2023,Monday,Hannukah Reception ,Executive Mansion,"138 Eagle Street, Albany, NY",Albany,Albany,Capital Region,42.6467004,-73.7608686
12/4/2023,Monday,Capitol Tree Lighting,Empire State Plaza ,"100 S Mall Arterial, Albany, NY 12242",Albany,Albany,Capital Region,42.6517957,-73.7619817
12/5/2023,Tuesday,Congestion Pricing Rally,Congestion Pricing Rally,"Union Square, New York, NY",New York,New York,New York City,40.7360717,-73.9901888
12/5/2023,Tuesday,New York State Iron Workers Luncheon,Wolfgang Tribeca,"409 Greenwich Street, New York, NY",New York,New York,New York City,40.7211681,-74.0097607
12/6/2023,Wednesday,Mental Health Announcement,"VIP Community Services, Inc.","770 East 176th Street, Bronx, NY",Bronx,Bronx,New York City,40.842142,-73.8901943
12/7/2023,Thursday,STEAM High School Groundbreaking Ceremony,Institute of Technology at Syracuse Central,"258 East Adams Street, Syracuse, NY",Onondaga,Syracuse,Central New York,43.0422887,-76.149091
12/7/2023,Thursday,Public Safety Press Conference,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
12/7/2023,Thursday,Menorah Lighting,World’s Largest Menorah,"59th Street and 5th Avenue, New York, NY",New York,New York,New York City,40.762966,-73.973968
12/7/2023,Thursday,Deliver Remarks at Temple Beth Elohim,Temple Beth Elohim,"274 Garfield Place, Brooklyn, NY",Kings,Brooklyn,New York City,40.6708558,-73.974551
12/8/2023,Friday,Temple Israel Shabbat Services,Temple Israel,"600 New Scotland Avenue, Albany, NY",Albany,Albany,Capital Region,42.6557447,-73.8017214
12/8/2023,Friday,Congregation Beth Emeth Shabbat Services,Congregation Beth Emeth,"100 Academy Road, Albany, NY",Albany,Albany,Capital Region,42.6469131,-73.7838997
12/10/2023,Sunday,Attend Church Services at the Christian Cultural Center,Christian Cultural Center,"12020 Flatlands Avenue, Brooklyn, NY",Kings,Brooklyn,New York City,40.6513743,-73.8892862
12/11/2023,Monday,Semiconductor Research & Development Announcement,SUNY Polytechnic Institute NanoTech Complex ZEN Building,"201 Fuller Road, Albany, NY",Albany,Albany,Capital Region,42.69229,-73.83086
12/12/2023,Tuesday,Water Infrastructure Funding Announcement ,Water Infrastructure Funding Announcement,"260 Motor Parkway, Hauppauge, NY",Suffolk,Hauppauge,Long Island,40.8053418,-73.2667005
12/12/2023,Tuesday,Tour Hicksville DRI Development Site,Tour Hicksville DRI Development Site,"99 Newbridge Road, Hicksville, NY",Nassau,Hicksville,Long Island,40.769231,-73.527678
12/12/2023,Tuesday,Angelica’s Law Bill Signing,Oak Street Licensing Center,"400 Oak Street, Garden City, NY",Nassau,Garden City,Long Island,40.7272858,-73.6077666
12/13/2023,Wednesday,Consumer Protection Bill Signing,Community Service Society,"633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
12/13/2023,Wednesday,Uniformed Fire Officers Association Labor Holiday Party,The Wilson NYC,"132 West 27th Street, New York, NY",New York,New York,New York City,40.7458949,-73.9926435
12/16/2023,Saturday,New York State AFL-CIO Holiday Gathering,Sheraton New York Times Square,"811 7th Avenue, New York, NY",New York,New York,New York City,40.7627309,-73.9816563
12/17/2023,Sunday,Buffalo Bills Game,Highmark Stadium,"1 Bills Dr, Orchard Park, NY 14127",Erie,Orchard Park,Western New York,42.7737131,-78.7869032
12/18/2023,Monday,Niagara Falls Welcome Center Grand Opening,Ralph C. Welcome Center,"333 Prospect Street, Niagara Falls, NY",Niagara,Niagara Falls,Western New York,43.0867916,-79.0644237
12/18/2023,Monday,Amherst Infrastructure Investment Announcement,MusicalFare at Daemen University,"4380 Main Street, Amherst, NY",Erie,Amherst,Western New York,42.9640166,-78.7899685
12/19/2023,Tuesday,Reparations Commission Bill Signing,New York Historical Society Library,"170 Central Park West, New York, NY",New York,New York,New York City,40.7792489,-73.9743038
12/20/2023,Wednesday,Child Care Announcement,W.A Harriman State Office Building Campus,"1220 Washington Avenue, Albany, NY",Albany,Albany,Capital Region,42.6467004,-73.7608686
12/20/2023,Wednesday,LCA Holiday Reception,Executive Mansion,"138 Eagle Street, Albany, NY",Albany,Albany,Capital Region,42.6467004,-73.7608686
12/21/2023,Thursday,New York State Police Academy 213th Session of the Basic School Ceremonies,Empire State Plaza ,"100 S Mall Arterial, Albany, NY 12242",Albany,Albany,Capital Region,42.6517957,-73.7619817
12/22/2023,Friday,Holiday Charity Event,St. Catherine’s R &E May School,"30 North Main Avenue, Albany, NY",Albany,Albany,Capital Region,42.6652975,-73.7856602
12/27/2023,Wednesday,Capital Region DRI and New York Forward Announcements,Fort William Henry Conference Center & Hotel,"48 Lake Canada Street, Lake George, NY",Warren,Lake George,Capital Region,43.418412,-73.713467
12/28/2023,Thursday,National Guard Event,New York National Guard HQ,"330 Old Niskayuna Road, Latham, NY",Albany,Latham,Capital Region,42.7426572,-73.7963781
1/2/2024,Tuesday,Consumer Protection & Affordability Press Conference,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
1/3/2024,Wednesday,State of the State “Back to Basics” Reading Press Conference,Watervliet Elementary School,"2557 10th Avenue, Watervliet, NY",Albany,Watervliet,Capital Region,42.7370006,-73.7110078
1/4/2024,Thursday,Maternal & Infant Mortality Press Conference,Wyckoff Heights Medical Center,"374 Stockholm Street, Brooklyn, NY",Kings,Brooklyn,New York City,40.7041442,-73.9177076
1/5/2024,Friday,State of the State “NY SWIMS” Press Conference,Harlem Children’s Aid,"14-32 W 118th Street, New York, NY",New York,New York,New York City,40.8057736,-73.954521
1/7/2024,Sunday,Hilton Albany,DOT Garage,"695 Watervliet Shaker Road, Latham, NY 12110",Albany,Latham,Capital Region,42.7386544,-73.7812239
1/8/2024,Monday,Long Island Association Reception,Hilton Albany,"40 Lodge St, Albany, NY",Albany,Albany,Capital Region,42.6507442,-73.7531445
1/9/2024,Tuesday,State of the State Address,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
1/11/2024,Thursday,Mental Health Press Conference,New York City Children’s Center,"1300 Waters Place, Bronx, NY",Bronx,Bronx,New York City,40.8463667,-73.8389731
1/11/2024,Thursday,Storm Briefing,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
1/12/2024,Friday,Rally for Israeli Hostages,Front of the UN at Dag Hammarskjold Plaza,"East 47th Street, New York, NY",New York,New York,New York City,40.751911,-73.9675888
1/12/2024,Friday,Interfaith Shabbat Services,Temple Beth El of Great Neck,"5 Old Mill Road, Great Neck, NY",Nassau,Great Neck,Long Island,40.798032,-73.7356542
1/13/2024,Saturday,Storm Presser,NYSTA Walden Complex-Section 6 Building,"1870 Walden Avenue, Cheektowaga, NY",Erie,Cheektowaga,Western New York,42.9084927,-78.7730409
1/14/2024,Sunday,Storm Presser,Command Center,"455 Cayuga Road, Cheektowaga, NY",Erie,Cheektowaga,Western New York,42.9424767,-78.7437515
1/15/2024,Monday,Buffalo Bills Game,Highmark Stadium,"1 Bills Dr, Orchard Park, NY 14127",Erie,Orchard Park,Western New York,42.7737131,-78.7869032
1/16/2024,Tuesday,Budget Address,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
1/16/2024,Tuesday,Election Commissioner’s Reception,Executive Mansion,"138 Eagle Street, Albany, NY",Albany,Albany,Capital Region,42.6467004,-73.7608686
1/17/2024,Wednesday,The New York State Sheriff’s Association’s 90th Winter Training Conference,The Desmond,"660 Albany Shaker Road, Albany, NY",Albany,Albany,Capital Region,42.7283095,-73.7986233
1/18/2024,Thursday,Long Island Budget Event,Kings Park High School,"200 NY-25A, Kings Park, NY",Suffolk,Kings Park,Long Island,40.884144,-73.250131
1/18/2024,Thursday,Long Island Hispanic Leaders Roundtable,Marine Resources Headquarters,"123 Kings Park Boulevard, Kings Park, NY",Suffolk,Kings Park,Long Island,40.885937,-73.2495956
1/18/2024,Thursday,Real Estate Board of New York Annual Event,The Glasshouse,"660 12th Avenue ,New York, NY",New York,New York,New York City,40.7657202,-73.9971901
1/21/2024,Sunday,Holocaust Museum Tour,Rockland Community College Campus,"145 College Road, Suffern, NY",Rockland,Suffern,Mid-Hudson,41.1330926,-74.0886395
1/22/2024,Monday,Investiture Ceremony for Judge Dianne T. Renwick,,"27 Madison Avenue, New York, NY",New York,New York,New York City,41.0117895,-73.6571916
1/22/2024,Monday,Tour Overlook Beach,,"Ocean Parkway, Babylon, NY",Suffolk,Babylon,Long Island,40.603946,-73.459148
1/22/2024,Monday,Avalon Housing Development Project Tour,,"366 Broadway, Amityville, NY",Suffolk,Amityville,Long Island,40.6844871,-73.4201573
1/22/2024,Monday,Historical Society of the New York Courts Annual Dinner,Harvard Club,"35 West 44th Street, New York, NY",New York,New York,New York City,40.7556958,-73.9815902
1/23/2024,Tuesday,North Country Budget Event,Mt. Van Hoevenberg,"31 Van Hoevenberg Way, Lake Placid, NY",Essex,Lake Placid,North Country,44.36541071,-73.9178009
1/24/2024,Wednesday,Planned Parenthood Day of Action,Legislative Office Building,"198 State Street, Albany, NY",Albany,Albany,Capital Region,42.650999,-73.75546
1/25/2024,Thursday,Hate Crimes Event ,John Jay College of Criminal Justice,"860 11th Avenue, New York, NY",New York,New York,New York City,40.7710875,-73.9905939
1/25/2024,Thursday,New York Building Congress Annual Membership Meeting & Construction Industry Luncheon ,,"583 Park Avenue, New York, NY",New York,New York,New York City,40.6976611,-73.9519178
1/26/2024,Friday,Western New York Budget Event,University at Buffalo,"12 Capen Hall, Buffalo, NY",Erie,Buffalo,Western New York,42.958236,-78.821006
1/26/2024,Friday,Buffalo Bills Safety Celebration & Workforce Appreciation Event ,SUNY Erie Community College,"4041 Southwestern Boulevard, Orchard Park, NY",Erie,Orchard Park,Western New York,42.7716243,-78.7977955
1/29/2024,Monday,United Federation of Teachers Legislative Reception,Empire State Plaza ,"100 S Mall Arterial, Albany, NY 12242",Albany,Albany,Capital Region,42.6517957,-73.7619817
1/29/2024,Monday,American Council of Engineering Companies of New York Winter Conference,Albany Capital Center ,"55 Eagle Street, Albany, NY",Albany,Albany,Capital Region,42.650131,-73.7564044
1/30/2024,Tuesday,Rape is Rape Bill Signing,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
1/31/2024,Wednesday,Albany Announcement,Troop G Headquarters,"760 Troy Schenectady Road, Latham, NY",Albany,Latham,Capital Region,42.7569731,-73.7808465
2/1/2024,Thursday,MTA Open Gangway Train Rollout Event,207th Street Rail Yard,"3961 10th Avenue, New York, NY",New York,New York,New York City,40.8673326,-73.9166884
2/1/2024,Thursday,Wake for Paul Vallone,,"38-08 Ditmars Boulevard, Astoria, NY",Queens,Queens,New York City,40.7803919,-73.9167281
2/2/2024,Friday,District Attorneys Association of New York Annual Winter Conference,InterContinental New York Barclay Hotel,"111 East 48th Street, New York, NY",New York,New York,New York City,40.7557523,-73.9735123
2/2/2024,Friday,Park Avenue Synagogue Services,Park Avenue Synagogue,"50 East 87th Street, New York, NY",New York,New York,New York City,40.7811158,-73.9579461
2/3/2024,Saturday,National Action Network Weekly Event,N.A.N Headquarters,"106 West 145th Street, New York, NY",New York,New York,New York City,40.8204921,-73.936579
2/5/2024,Monday,Central New York Budget Event,PPC Broadband Inc.,"6712 Kinne Street, East Syracuse, NY",Onondaga,East Syracuse,Central New York,43.0949682,-76.0777628
2/5/2024,Monday,New York Conference of Mayors Reception,Executive Mansion,"138 Eagle Street, Albany, NY",Albany,Albany,Capital Region,42.6467004,-73.7608686
2/5/2024,Monday,The Business Council of New York State Legislative Reception,Albany Capital Center ,"55 Eagle Street, Albany, NY",Albany,Albany,Capital Region,42.650131,-73.7564044
2/7/2024,Wednesday,Pro-Housing Communities Roundtable,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
2/8/2024,Thursday,Mid-Hudson Budget Event,Sonesta White Plains Downtown,"66 Hale Avenue, White Plains, NY",Westchester,White Plains,Mid-Hudson,41.0300498,-73.7604174
2/9/2024,Friday,Gowanus Groundbreaking Ceremony ,,"318 Nevins Street, Brooklyn, NY",Kings,Brooklyn,New York City,40.6789556,-73.9876146
2/9/2024,Friday,Prabal Gurung Fashion Show,Starrett-Lehigh Building,"601 West 26th Street, New York, NY",New York,New York,New York City,40.7516485,-74.0067152
2/10/2024,Saturday,Flushing Chinese Business Association Lunar New Year Parade,,"37-05 Union Street, Queens, NY",Queens,Queens,New York City,40.7623522,-73.8270204
2/11/2024,Sunday,Convent Avenue Baptist Church Services,Convent Avenue Baptist Church,"420 West 145th Street, New York, NY",New York,New York,New York City,40.8243939,-73.9460172
